invoke,text
japan,Fuck the Japan Server ¯\_(ツ)_/¯
download,**APKPure:**http://bit.ly/2COnu2J. **QooApp:**http://bit.ly/2EZmcrB
docs,**Read the Docs:**https://rodizipa.github.io/KirinusRewrite/
understand, https://cdn.discordapp.com/attachments/360916876986941442/428556218265501698/nowyouunderstandtl.png
ahshit, https://cdn.discordapp.com/attachments/360916876986941442/428556444984541184/anememeohshit.png
salvation, https://cdn.discordapp.com/attachments/242845451739463681/428746842038075392/plzsavethisbastardtl.png
pff, https://cdn.discordapp.com/emojis/431294173614964736.png?v=1
gaykoji, https://cdn.discordapp.com/attachments/242845451739463681/431858560390004747/unknown.png
lanfei, https://cdn.discordapp.com/emojis/407247912217608192.gif?v=1
sreally, https://cdn.discordapp.com/attachments/242845451739463681/432185637748211713/semele_r-r-really.png
kojiisteng, https://cdn.discordapp.com/attachments/242845451739463681/432232995311583243/unknown.png
masterofaids, https://cdn.discordapp.com/attachments/242845451739463681/432235030077505536/unknown.png
tengiskoji, https://cdn.discordapp.com/attachments/242845451739463681/432270299610742786/unknown.png
sorry, https://cdn.discordapp.com/attachments/242845451739463681/432323755210047499/im_sorry_devil.png
nope, https://cdn.discordapp.com/attachments/242845451739463681/432374805447180318/nope.png
seeya, https://cdn.discordapp.com/attachments/242845451739463681/432748078705934336/venusseeya.png